arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 3, 5, 5, 7, 3, 5, 5, 7, 7, 5, 7, 3, 3, 7, 3], 'e': [4, 6, 4, 6, 3, 6, 4, 6, 3, 4, 6, 3, 6, 3, 4, 4, 3, 4, 3, 3], 'd': [4, 2, 2, 3, 2], 'r': [208]}",15.94,46.21
"{'wid': None, 'ks': [7, 3, 3, 7, 3, 7, 7, 7, 3, 5, 5, 7, 5, 7, 7, 7, 3, 5, 5, 5], 'e': [6, 4, 6, 4, 6, 6, 4, 3, 3, 6, 6, 6, 3, 3, 3, 6, 6, 4, 6, 4], 'd': [4, 4, 2, 4, 2], 'r': [208]}",17.51,52.8
"{'wid': None, 'ks': [5, 5, 5, 7, 3, 3, 7, 5, 3, 7, 3, 5, 5, 3, 7, 3, 3, 3, 3, 5], 'e': [3, 3, 3, 6, 4, 3, 6, 3, 4, 3, 6, 6, 6, 3, 4, 6, 4, 4, 6, 3], 'd': [2, 4, 2, 2, 4], 'r': [208]}",13.18,38.91
"{'wid': None, 'ks': [3, 7, 7, 5, 5, 3, 5, 5, 7, 5, 7, 7, 3, 5, 5, 3, 7, 3, 7, 3], 'e': [4, 4, 6, 4, 4, 4, 6, 3, 4, 6, 3, 6, 4, 6, 4, 6, 6, 3, 6, 3], 'd': [2, 4, 4, 2, 4], 'r': [192]}",17.36,42.87
"{'wid': None, 'ks': [7, 5, 3, 5, 7, 3, 5, 3, 7, 7, 5, 7, 5, 5, 5, 7, 7, 5, 7, 7], 'e': [4, 3, 6, 6, 4, 6, 3, 4, 3, 3, 3, 4, 4, 4, 6, 3, 3, 3, 4, 4], 'd': [3, 3, 4, 2, 4], 'r': [224]}",15.1,49.91
"{'wid': None, 'ks': [3, 5, 7, 5, 3, 5, 5, 7, 5, 7, 7, 5, 7, 3, 5, 3, 5, 7, 7, 7], 'e': [4, 3, 6, 6, 3, 3, 6, 3, 6, 3, 3, 4, 4, 3, 4, 6, 3, 4, 3, 3], 'd': [2, 2, 4, 2, 3], 'r': [224]}",14.41,38.99
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 5, 7, 5, 7, 3, 3, 5, 3, 3, 7, 3, 3, 5], 'e': [3, 3, 6, 6, 3, 4, 3, 4, 4, 6, 3, 3, 4, 3, 6, 3, 3, 3, 6, 3], 'd': [4, 4, 4, 4, 3], 'r': [192]}",17.59,48.37
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 5, 5, 3, 3, 7, 7, 7, 7, 5, 3, 5, 7, 5, 7, 7], 'e': [4, 3, 6, 3, 6, 6, 6, 4, 4, 3, 6, 6, 4, 6, 4, 6, 3, 6, 6, 6], 'd': [2, 3, 4, 3, 3], 'r': [224]}",17.2,53.27
"{'wid': None, 'ks': [7, 3, 7, 5, 5, 7, 5, 3, 3, 5, 3, 5, 7, 5, 7, 5, 3, 3, 3, 7], 'e': [4, 4, 4, 6, 6, 6, 4, 4, 6, 4, 4, 6, 3, 4, 6, 3, 4, 6, 4, 4], 'd': [3, 4, 4, 4, 4], 'r': [160]}",17.03,44.05
"{'wid': None, 'ks': [7, 3, 3, 3, 7, 3, 5, 7, 3, 7, 7, 7, 7, 5, 5, 5, 5, 3, 3, 3], 'e': [4, 3, 6, 4, 6, 3, 6, 4, 4, 3, 6, 3, 6, 6, 4, 4, 6, 3, 4, 6], 'd': [3, 3, 2, 3, 3], 'r': [224]}",13.11,46.0
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 7, 5, 3, 3, 5, 7, 7, 5, 3, 7, 7, 5, 3, 3], 'e': [4, 3, 3, 4, 6, 3, 6, 4, 4, 6, 3, 4, 4, 4, 6, 6, 4, 6, 4, 4], 'd': [2, 4, 2, 2, 4], 'r': [208]}",13.53,40.77
"{'wid': None, 'ks': [7, 5, 3, 3, 7, 7, 3, 3, 3, 7, 5, 7, 3, 3, 7, 5, 7, 7, 5, 5], 'e': [6, 4, 4, 3, 6, 6, 3, 4, 3, 3, 3, 6, 3, 3, 3, 4, 3, 3, 3, 3], 'd': [2, 4, 2, 4, 4], 'r': [192]}",15.51,43.35
