arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 3, 7, 5, 7, 5, 5, 5, 3, 7, 3, 7, 7, 5, 3, 3], 'e': [4, 6, 6, 6, 4, 3, 3, 4, 3, 6, 6, 6, 6, 3, 6, 4, 3, 3, 3, 6], 'd': [4, 2, 2, 2, 3], 'r': [208]}",12.86,84.32
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 3, 7, 5, 7, 5, 5, 5, 3, 7, 3, 7, 7, 5, 3, 3], 'e': [4, 6, 6, 6, 4, 3, 3, 4, 3, 6, 6, 6, 6, 3, 6, 4, 3, 3, 3, 6], 'd': [4, 2, 2, 2, 3], 'r': [224]}",15.72,101.72
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 5, 5, 7, 3, 7, 5, 7, 3, 5, 5, 3, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 6, 3, 6, 3, 3, 3, 3, 6, 4, 6, 6, 4, 3, 4, 6], 'd': [4, 4, 2, 2, 3], 'r': [160]}",17.01,107.69
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 5, 5, 7, 3, 7, 5, 7, 3, 5, 5, 3, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 6, 3, 6, 3, 3, 3, 3, 6, 4, 6, 6, 4, 3, 4, 6], 'd': [4, 4, 2, 2, 3], 'r': [176]}",15.33,109.86
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 5, 5, 7, 3, 7, 5, 7, 3, 5, 5, 3, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 6, 3, 6, 3, 3, 3, 3, 6, 4, 6, 6, 4, 3, 4, 6], 'd': [4, 4, 2, 2, 3], 'r': [192]}",14.06,83.17
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 5, 5, 7, 3, 7, 5, 7, 3, 5, 5, 3, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 6, 3, 6, 3, 3, 3, 3, 6, 4, 6, 6, 4, 3, 4, 6], 'd': [4, 4, 2, 2, 3], 'r': [208]}",15.69,89.52
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 5, 5, 7, 3, 7, 5, 7, 3, 5, 5, 3, 5, 5, 7, 3], 'e': [3, 4, 4, 4, 4, 6, 3, 6, 3, 3, 3, 3, 6, 4, 6, 6, 4, 3, 4, 6], 'd': [4, 4, 2, 2, 3], 'r': [224]}",13.12,73.05
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 7, 5, 5, 5, 5, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 4, 3, 6, 3, 6, 4, 3, 6, 3, 4, 6, 4, 4], 'd': [4, 4, 4, 3, 3], 'r': [160]}",19.2,92.0
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 7, 5, 5, 5, 5, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 4, 3, 6, 3, 6, 4, 3, 6, 3, 4, 6, 4, 4], 'd': [4, 4, 4, 3, 3], 'r': [176]}",15.93,156.27
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 7, 5, 5, 5, 5, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 4, 3, 6, 3, 6, 4, 3, 6, 3, 4, 6, 4, 4], 'd': [4, 4, 4, 3, 3], 'r': [192]}",15.65,93.99
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 7, 5, 5, 5, 5, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 4, 3, 6, 3, 6, 4, 3, 6, 3, 4, 6, 4, 4], 'd': [4, 4, 4, 3, 3], 'r': [208]}",18.12,122.6
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 7, 5, 5, 5, 5, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 4, 3, 6, 3, 6, 4, 3, 6, 3, 4, 6, 4, 4], 'd': [4, 4, 4, 3, 3], 'r': [224]}",15.72,130.66
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 7, 3, 5, 3, 7, 3, 3, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 3, 6, 3, 6, 6, 4, 3, 4, 4, 6, 6, 6, 3, 4, 6, 6, 6], 'd': [3, 3, 4, 4, 2], 'r': [160]}",13.69,74.44
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 7, 3, 5, 3, 7, 3, 3, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 3, 6, 3, 6, 6, 4, 3, 4, 4, 6, 6, 6, 3, 4, 6, 6, 6], 'd': [3, 3, 4, 4, 2], 'r': [176]}",19.43,105.99
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 7, 3, 5, 3, 7, 3, 3, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 3, 6, 3, 6, 6, 4, 3, 4, 4, 6, 6, 6, 3, 4, 6, 6, 6], 'd': [3, 3, 4, 4, 2], 'r': [192]}",16.18,119.67
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 7, 3, 5, 3, 7, 3, 3, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 3, 6, 3, 6, 6, 4, 3, 4, 4, 6, 6, 6, 3, 4, 6, 6, 6], 'd': [3, 3, 4, 4, 2], 'r': [208]}",17.47,99.96
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 7, 3, 5, 3, 7, 3, 3, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 3, 6, 3, 6, 6, 4, 3, 4, 4, 6, 6, 6, 3, 4, 6, 6, 6], 'd': [3, 3, 4, 4, 2], 'r': [224]}",15.68,111.57
"{'wid': None, 'ks': [3, 5, 7, 7, 3, 7, 3, 3, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 3, 3], 'e': [4, 4, 6, 3, 3, 3, 6, 3, 4, 4, 3, 4, 4, 6, 3, 3, 6, 4, 3, 4], 'd': [4, 3, 4, 3, 3], 'r': [160]}",16.26,92.58
"{'wid': None, 'ks': [3, 5, 7, 7, 3, 7, 3, 3, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 3, 3], 'e': [4, 4, 6, 3, 3, 3, 6, 3, 4, 4, 3, 4, 4, 6, 3, 3, 6, 4, 3, 4], 'd': [4, 3, 4, 3, 3], 'r': [176]}",15.03,95.38
"{'wid': None, 'ks': [3, 5, 7, 7, 3, 7, 3, 3, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 3, 3], 'e': [4, 4, 6, 3, 3, 3, 6, 3, 4, 4, 3, 4, 4, 6, 3, 3, 6, 4, 3, 4], 'd': [4, 3, 4, 3, 3], 'r': [192]}",17.51,137.8
